ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res,PC_NAME2,myneta PC_NAME_myneta PC_Name,myneta Sno,myneta Candidate,myneta Party,myneta Criminal Case,myneta Education,myneta Education Points,myneta Total Assets,myneta Liabilities
WB,Jhargram,S25,33,ST,Jhargram,,247,Uma Saren,AITC,0,Graduate Professional,17,499646,0
WB,Kolkata Dakshin,S25,23,GEN,Kolkata Dakshin,,295,Subrata Bakshi,AITC,0,Graduate Professional,17,10265428,168891
WB,Basirhat,S25,18,GEN,Basirhat,,79,Idris Ali,AITC,9,Graduate Professional,17,9800277,0
WB,Koch Bihar,S25,1,SC,Coochbehar,Coochbehar,136,Renuka Sinha,AITC,0,Graduate Professional,17,13017282,0
WB,Hugli,S25,28,GEN,Hooghly,Hooghly,216,Ratna De,AITC,0,Graduate Professional,17,18617757,0
WB,Shrirampur,S25,27,GEN,Sreerampur,Sreerampur,484,Kalyan Banerjee,AITC,1,Graduate Professional,17,88512676,8582543
GJ,Kachchh,S06,1,SC,Kachchh,,252,Chavda Vinod Lakhmashi,BJP,0,Graduate Professional,17,5618643,411255
AP,Araku,S01,18,ST,Araku,,32,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,20,65147467,43261606
AP,Bhongir,S01,14,GEN,Bhongir,,100,Dr. Narsaiah Boora,TRS,0,Post Graduate,20,202983225,13574088
AP,Chevella,S01,10,GEN,Chevella,,125,Konda Vishweshwar Reddy,TRS,0,Post Graduate,20,5286230210,74111133
AP,Srikakulam,S01,19,GEN,Srikakulam,,485,Rammohannaidu Kinjarapu,TDP,0,Post Graduate,20,84173423,0
AP,Peddapalle,S01,2,SC,Peddapalle,,407,Balka Suman,TRS,1,Post Graduate,20,7351329,620770
AP,Ongole,S01,33,GEN,Ongole,,392,Yarram Venkata Subbareddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,20,735451548,240557614
AP,Bapatla,S01,32,SC,Bapatla,,66,Malyadri Sriram,TDP,0,Post Graduate,20,45359744,0
AP,Adilabad,S01,1,ST,Adilabad,,1,Godam Nagesh,TRS,0,Post Graduate,20,10378857,148784
AP,Rajampet,S01,41,GEN,Rajampet,,428,P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,20,225984036,8183862
AP,Kadapa,S01,38,GEN,Kadapa,,253,Avinash Reddy Yeduguri Sandinti,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,20,70480623,5547296
AP,Warangal,S01,15,SC,Warangal,,537,Kadiyam Srihari,TRS,6,Post Graduate,20,13495000,
AS,Jorhat,S03,12,GEN,Jorhat,,250,Kamakhya Prasad Tasa,BJP,0,Post Graduate,20,1694785,0
AS,Kaliabor,S03,11,GEN,Kaliabor,,258,Gourav Gogoi,INC,0,Post Graduate,20,5473199,1042133
AS,Autonomous District,S03,3,ST,Autonomous District,,44,Biren Singh Engti,INC,0,Post Graduate,20,35367390,0
AS,Dhubri,S03,4,GEN,Dhubri,,156,Badruddin Ajmal,AIUDF,1,Post Graduate,20,432748134,0
AS,Silchar,S03,2,GEN,Silchar,,473,Sushmita Dev,INC,1,Post Graduate,20,87495844,12008613
AS,Guwahati,S03,7,GEN,Gauhati,Gauhati,185,Smt. Bijoya Chakraborty,BJP,0,Post Graduate,20,12574493,0
BR,Gopalganj,S04,17,SC,Gopalganj,,195,Janak Ram,BJP,2,Post Graduate,20,10582664,1039000
BR,Jhanjharpur,S04,7,GEN,Jhanjharpur,,245,Birendra Kumar Chaudhary,BJP,0,Post Graduate,20,5158792,0
BR,Pashchim Champaran,S04,2,GEN,Paschim Champaran,Paschim Champaran,401,Dr. Sanjay Jayaswal,BJP,2,Post Graduate,20,35941299,6197804
BR,Kishanganj,S04,10,GEN,Kishanganj,,290,Mohammad Asrarul Haque,INC,2,Post Graduate,20,4616629,0
BR,Sasaram,S04,34,SC,Sasaram,,457,Chhedi Paswan,BJP,0,Post Graduate,20,35776803,275000
BR,Banka,S04,27,GEN,Banka,,62,Jaiprakash Narayan Yadav,RJD,2,Post Graduate,20,27846274,791539
BR,Sitamarhi,S04,5,GEN,Sitamarhi,,476,Ram Kumar Sharma,Rashtriya Lok Samta Party,0,Post Graduate,20,9265000,82000
BR,Hajipur,S04,21,SC,Hajipur,,203,Ram Vilas Paswan,LJP,2,Post Graduate,20,9642023,0
BR,Karakat,S04,35,GEN,Karakat,,270,Upendra Kushwaha,Rashtriya Lok Samta Party,4,Post Graduate,20,24829741,823834
BR,Saran (Chhapra),S04,20,GEN,Saran,Saran,456,Rajiv Pratap Rudy,BJP,1,Post Graduate,20,62545997,1008658
BR,Aurangabad,S04,37,GEN,Aurangabad,,43,Sushil Kumar Singh,BJP,5,Post Graduate,20,127845854,7321626
CG,Surguja,S26,1,ST,Surguja,,493,Kamalbhan Singh,BJP,0,Post Graduate,20,24773173,2995985
CG,Bilaspur,S26,5,GEN,Bilaspur,,107,Lakhanlal Sau S/O Kalyan Lal Sahu,BJP,0,Post Graduate,20,8661133,306357
CG,Bastar,S26,10,ST,Bastar,,80,Dinesh Kashyap,BJP,1,Post Graduate,20,16108199,2191216
CH,Chandigarh,U02,1,GEN,Chandigarh,,118,Smt. Kirron Kher,BJP,0,Post Graduate,20,335343871,1886187
DL,West Delhi,U05,6,GEN,West Delhi,,540,Parvesh Sahib Singh,BJP,1,Post Graduate,20,107235461,26650000
DL,Chandni Chowk,U05,1,GEN,Chandni Chowk,,119,Dr. Harsh Vardhan,BJP,2,Post Graduate,20,28229308,1780492
DL,North East Delhi,U05,2,GEN,North East Delhi,,388,Manoj Tiwari,BJP,0,Post Graduate,20,199483924,34645630
GJ,Ahmadabad (West),S06,8,SC,Ahmedabad West,Ahmedabad West,4,Dr. Solanki Kiritbhai Premjibhai,BJP,0,Post Graduate,20,34085266,208007
GJ,Vadodara,S06,20,GEN,Vadodara,,525,Narendra Modi,BJP,0,Post Graduate,20,15157582,0
GJ,Bharuch,S06,22,GEN,Bharuch,,94,Mansukhbhai Dhanjibhai Vasava,BJP,0,Post Graduate,20,6571062,639000
GJ,Chhota Udaipur,S06,21,ST,Chhota Udaipur,,127,Rathwa Ramsingbhai Patalbhai,BJP,0,Post Graduate,20,39769675,9763903
HP,Hamirpur,S08,3,GEN,Hamirpur,,205,Kunwar Pushpendra Singh,BJP,1,Post Graduate,20,71265181,2825539
HP,Shimla,S08,4,SC,Shimla,,465,Virender Kashyap,BJP,0,Post Graduate,20,5228095,0
HR,Ambala,S07,1,SC,Ambala,,17,Rattan Lal Kataria,BJP,0,Post Graduate,20,42150634,843229
HR,Rohtak,S07,7,GEN,Rohtak,,444,Deepender Singh,INC,0,Post Graduate,20,358749354,39310300
JH,Godda,S27,3,GEN,Godda,,193,Nishikant Dubey,BJP,5,Post Graduate,20,155633719,0
JH,Hazaribagh,S27,14,GEN,Hazaribagh,,212,Jayant Sinha,BJP,0,Post Graduate,20,556754579,86380600
JH,Khunti,S27,11,ST,Khunti,,289,Karia Munda,BJP,0,Post Graduate,20,7474796,0
JH,Chatra,S27,4,GEN,Chatra,,121,Sunil Kumar Singh,BJP,0,Post Graduate,20,174744806,950052
JK,Baramula,S09,1,GEN,Baramulla,Baramulla,69,Muzaffar Hussain Baig,JKPDP,0,Post Graduate,20,200707183,11401285
KA,Udupi Chikmagalur,S10,15,GEN,Udupi Chikmagalur,,518,Shobha Karandlaje,BJP,0,Post Graduate,20,72089452,38119792
KA,Mysore,S10,21,GEN,Mysore,,364,Prathap Simha,BJP,0,Post Graduate,20,6321591,4399048
KA,Chamrajnagar,S10,22,SC,Chamarajanagar,Chamarajanagar,116,R. Dhruvanarayana,INC,0,Post Graduate,20,31519950,2605818
KA,Chitradurga,S10,18,SC,Chitradurga,,131,B.N.Chandrappa,INC,0,Post Graduate,20,48303759,13800000
KL,Thrissur,S11,10,GEN,Thrissur,,503,C N Jayadevan,CPI,3,Post Graduate,20,20041642,294000
KL,Alathur,S11,9,SC,Alathur,,10,P.K.Biju,CPI(M),0,Post Graduate,20,3231047,341749
KL,Kasaragod,S11,1,GEN,Kasaragod,,276,P Karunakaran,CPI(M),6,Post Graduate,20,5900345,0
KL,Vadakara,S11,3,GEN,Vadakara,,524,Mullappally Ramachandran,INC,0,Post Graduate,20,9225000,2160000
KL,Idukki,S11,13,GEN,Idukki,,221,Adv.Joice George,IND,4,Post Graduate,20,17396207,9417720
KL,Alappuzha,S11,15,GEN,Alappuzha,,9,K C Venugopal,INC,0,Post Graduate,20,12856075,456010
KL,Kottayam,S11,14,GEN,Kottayam,,302,Jose K Mani,KC(M),0,Post Graduate,20,26236371,0
KL,Ernakulam,S11,12,GEN,Ernakulam,,168,K.V. Thomas,INC,0,Post Graduate,20,11848550,522352
KL,Wayanad,S11,4,GEN,Wayanad,,539,M I Shanavas,INC,0,Post Graduate,20,27122055,7711000
MN,Outer Manipur,S14,2,ST,Outer Manipur,,394,Thangso Baite,INC,0,Post Graduate,20,5947000,880000
MP,Indore,S12,26,GEN,Indore,,222,Sumitra Mahajan,BJP,0,Post Graduate,20,18732234,3539000
MP,Sidhi,S12,11,GEN,Sidhi,,470,Riti Pathak,BJP,0,Post Graduate,20,33416561,0
MP,Satna,S12,9,GEN,Satna,,459,Ganesh Singh,BJP,2,Post Graduate,20,37800000,0
MP,Mandsaur,S12,23,GEN,Mandsaur,Mandsaur,336,Sudhir Gupta,BJP,0,Post Graduate,20,57429237,3058993
MP,Guna,S12,4,GEN,Guna,,198,Jyotiraditya M. Scindia,INC,0,Post Graduate,20,330888751,795000
MP,Betul,S12,29,ST,Betul,,88,Jyoti Dhurve,BJP,2,Post Graduate,20,26232000,1000000
MP,Khargone,S12,27,ST,Khargone,,286,Subhash Patel,BJP,0,Post Graduate,20,36138699,2300000
MP,Mandla,S12,14,ST,Mandla,,335,Faggan Singh Kulaste,BJP,2,Post Graduate,20,25738420,98311
MP,Khandwa,S12,28,GEN,Khandwa,,285,Nandkumar Singh Chouhan,BJP,0,Post Graduate,20,40188989,9561188
ML,Tura,S15,2,ST,Tura,,515,Purno Agitok Sangma,NPP,0,Post Graduate,20,215134618,0
MH,Osmanabad,S13,40,GEN,Osmanabad,,393,Gaikwad Ravindra Vishwanath,SHS,8,Post Graduate,20,32852793,5962702
MH,Dhule,S13,2,GEN,Dhule,,157,Bhamare Subhash Ramrao,BJP,0,Post Graduate,20,125833320,660757
MH,Aurangabad,S13,19,GEN,Aurangabad,,43,Sushil Kumar Singh,BJP,5,Post Graduate,20,127845854,7321626
MH,Ratnagiri - Sindhudurg,S13,46,GEN,Ratnagiri Sindhudurg,Ratnagiri Sindhudurg,440,Vinayak Bhaurao Raut,SHS,5,Post Graduate,20,44568629,2370842
MH,Nanded,S13,16,GEN,Nanded,,376,Shri Chavan Ashokrao Shankarrao,INC,0,Post Graduate,20,388758910,30513286
OD,Bhadrak,S18,7,SC,Bhadrak,,90,Arjun Charan Sethi,BJD,0,Post Graduate,20,6730000,2424000
OD,Baleshwar,S18,6,GEN,Balasore,Balasore,52,Rabindra Kumar Jena,BJD,0,Post Graduate,20,570139716,55893020
OD,Cuttack,S18,14,GEN,Cuttack,,138,Bhartruhari Mahatab,BJD,0,Post Graduate,20,88834098,0
OD,Bhubaneswar,S18,18,GEN,Bhubaneswar,,102,"Prasanna Kumar Patasani,",BJD,0,Post Graduate,20,13557443,9590067
OD,Koraput,S18,21,ST,Koraput,,299,Jhina Hikaka,BJD,0,Post Graduate,20,8800000,0
PB,Fatehgarh Sahib,S19,8,SC,Fatehgarh Sahib,,176,Harinder Singh Khalsa,AAP,0,Post Graduate,20,35588128,6700000
PB,Anandpur Sahib,S19,6,GEN,Anandpur Sahib,,26,Prem Singh Chandumajra,SAD,0,Post Graduate,20,141599902,2248200
PB,Faridkot,S19,9,SC,Faridkot,,174,Prof. Sadhu Singh,AAP,0,Post Graduate,20,5879516,70000
PY,Puducherry,U07,1,GEN,Pondicherry,Pondicherry,412,R. Radhakrishnan,All India N.R. Congress,0,Post Graduate,20,77724418,7658530
RJ,Bikaner,S20,2,SC,Bikaner,,106,Arjun Ram Meghwal,BJP,0,Post Graduate,20,18142863,1216408
RJ,Jhunjhunun,S20,4,GEN,Jhunjhunu,Jhunjhunu,248,Santosh Ahlawat,BJP,0,Post Graduate,20,35897048,5704000
RJ,Jodhpur,S20,16,GEN,Jodhpur,,249,Gajendrasingh Shekhawat,BJP,0,Post Graduate,20,143491494,92198588
RJ,Nagaur,S20,14,GEN,Nagaur,,369,C R Choudhary,BJP,0,Post Graduate,20,17921949,0
RJ,Karauli - Dhaulpur,S20,10,SC,Karauli-Dholpur,Karauli-Dholpur,271,Manoj Rajoria,BJP,0,Post Graduate,20,28636113,3277324
RJ,Jhalawar - Baran,S20,25,GEN,Jhalawar-Baran,Jhalawar-Baran,244,Dushyant,BJP,0,Post Graduate,20,239006838,2798782
RJ,Kota,S20,24,GEN,Kota,,301,Om Birla,BJP,2,Post Graduate,20,25870497,997366
RJ,Udaipur,S20,19,ST,Udaipur,,516,Arjunlal Meena,BJP,0,Post Graduate,20,17049951,8195866
SK,Sikkim,S21,1,GEN,Sikkim,,472,Prem Das Rai,SDF,0,Post Graduate,20,32389223,0
TN,Erode,S22,17,GEN,Erode,,169,Selvakumara Chinnayan S,AIADMK,0,Post Graduate,20,47459708,0
TN,Tenkasi,S22,37,SC,Tenkasi,,496,Vasanthi.M,AIADMK,0,Post Graduate,20,24014922,0
TN,Perambalur,S22,25,GEN,Perambalur,,408,R.P.Marutharajaa,AIADMK,0,Post Graduate,20,24570213,0
TN,Dindigul,S22,22,GEN,Dindigul,,160,Udhaya Kumar .M,AIADMK,0,Post Graduate,20,27810000,2800000
TN,Arakkonam,S22,7,GEN,Arakkonam,,31,Hari G,AIADMK,4,Post Graduate,20,32966706,0
TN,Tiruvannamalai,S22,11,GEN,Tiruvannamalai,,510,Vanaroja R,AIADMK,0,Post Graduate,20,3700000,0
TN,Sriperumbudur,S22,5,GEN,Sriperumbudur,,487,"Ramachandran, K.N. Thiru",AIADMK,0,Post Graduate,20,936721057,80806268
TN,Vellore,S22,8,GEN,Vellore,,530,"Senguttuvan, B.",AIADMK,0,Post Graduate,20,9197355,440478
TN,Kallakurichi,S22,14,GEN,Kallakurichi,,259,K. Kamaraj,AIADMK,0,Post Graduate,20,35459256,544099
TN,Nilgiris,S22,19,SC,Nilgiris,,386,"Gopalakrishnan, C.",AIADMK,0,Post Graduate,20,10941189,1224754
TN,Chennai North,S22,2,GEN,Chennai North,,123,Venkatesh Babu .T.G,AIADMK,0,Post Graduate,20,37038275,804032
TN,Thoothukkudi,S22,36,GEN,Thoothukkudi,,502,Jeyasingh Thiyagaraj Natterjee.J,AIADMK,0,Post Graduate,20,9822294,0
TN,Pollachi,S22,21,GEN,Pollachi,,411,Mahendran.C,AIADMK,0,Post Graduate,20,231430367,18128825
TN,Tiruppur,S22,18,GEN,Tiruppur,,508,V.Sathyabama,AIADMK,2,Post Graduate,20,28108573,2475755
TR,Tripura West,S23,1,GEN,Tripura West,,513,Sankar Prasad Datta,CPI(M),1,Post Graduate,20,1320900,0
UK,Nainital - Udhamsingh Nagar,S28,4,GEN,Nainital-Udhamsingh Nagar,Nainital-Udhamsingh Nagar,372,Bhagat Singh Koshyari,BJP,0,Post Graduate,20,5562704,0
UP,Saharanpur,S24,1,GEN,Saharanpur,,447,Raghav Lakhanpal,BJP,0,Post Graduate,20,35406431,0
UP,Nagina,S24,5,SC,Nagina,,370,Yashwant Singh,BJP,0,Post Graduate,20,34806740,0
UP,Sambhal,S24,8,GEN,Sambhal,,452,Satya Pal Singh,BJP,0,Post Graduate,20,19904379,0
UP,Meerut,S24,10,GEN,Meerut,,347,Rajendra Agarwal,BJP,2,Post Graduate,20,8803517,3074600
UP,Lalganj,S24,68,SC,Lalganj,,312,Neelam,BJP,1,Post Graduate,20,33863562,2631312
UP,Jalaun,S24,45,GEN,Jalaun,,232,Bhanu Pratap Singh,BJP,0,Post Graduate,20,5774068,650000
UP,Budaun,S24,23,GEN,Badaun,Badaun,46,Dharmandra Yadav,SP,0,Post Graduate,20,24987715,8950291
UP,Shahjahanpur,S24,27,SC,Shahjahanpur,,462,Krishna Raj,BJP,0,Post Graduate,20,16506411,3612812
UP,Hardoi,S24,31,SC,Hardoi,,206,Anshul Verma,BJP,0,Post Graduate,20,30385000,0
UP,Domriaganj,S24,60,GEN,Domariyaganj,Domariyaganj,162,Jagdambika Pal,BJP,0,Post Graduate,20,17822082,4981555
UP,Sitapur,S24,30,GEN,Sitapur,,477,Rajesh Kumar Singh,BJP,0,Post Graduate,20,41418622,1265000
UP,Mainpuri,S24,21,GEN,Mainpuri,,329,Mulayam Singh Yadav,SP,0,Post Graduate,20,159671544,0
UP,Gonda,S24,59,GEN,Gonda,,194,Kirti Vardhan Singh,BJP,0,Post Graduate,20,74738429,9275782
UP,Misrikh,S24,32,SC,Misrikh,,349,Anju Bala,BJP,0,Post Graduate,20,37618214,1200000
UP,Barabanki,S24,53,SC,Barabanki,,67,Priyanka Singh Rawat,BJP,0,Post Graduate,20,13175500,1450000
UP,Azamgarh,S24,69,GEN,Azamgarh,,45,Mulayam Singh Yadav,SP,0,Post Graduate,20,159671544,0
UP,Amethi,S24,37,GEN,Amethi,,19,Rahul Gandhi,INC,0,Post Graduate,20,94006549,1800000
UP,Deoria,S24,66,GEN,Deoria,,148,Kalraj Mishra,BJP,0,Post Graduate,20,55048193,0
UP,Sant Kabir Nagar,S24,62,GEN,Sant Kabir Nagar,,455,Sharad Tripathi,BJP,0,Post Graduate,20,3697671,71800
UP,Faizabad,S24,54,GEN,Faizabad,,172,Lallu Singh,BJP,1,Post Graduate,20,15127861,3640964
UP,Sultanpur,S24,38,GEN,Sultanpur,,488,Feroze Varun Gandhi,BJP,0,Post Graduate,20,357318699,18119000
UP,Mirzapur,S24,79,GEN,Mirzapur,,348,Anupriya Singh Patel,Apna Dal,2,Post Graduate,20,26858156,1805603
UP,Hamirpur,S24,47,GEN,Hamirpur,,205,Kunwar Pushpendra Singh,BJP,1,Post Graduate,20,71265181,2825539
UP,Ambedkar Nagar,S24,55,GEN,Ambedkar Nagar,,18,Hariom,BJP,0,Post Graduate,20,15318114,0
UP,Lucknow,S24,35,GEN,Lucknow,,315,Raj Nath Singh,BJP,0,Post Graduate,20,29240729,0
UP,Varanasi,S24,77,GEN,Varanasi,,529,Narendra Modi,BJP,0,Post Graduate,20,16591582,0
UP,Basti,S24,61,GEN,Basti,,81,Harish Chandra,BJP,2,Post Graduate,20,5350882,860185
UP,Shrawasti,S24,58,GEN,Shrawasti,,469,Daddan Mishra,BJP,0,Post Graduate,20,20065527,228304
UP,Bijnor,S24,4,GEN,Bijnor,,105,Kunwar Bhartendra,BJP,2,Post Graduate,20,24840646,0
WB,Arambag,S25,29,SC,Arambag,,33,Aparupa Poddar (Afrin Ali),AITC,0,Post Graduate,20,3271869,200000
WB,Tamluk,S25,30,GEN,Tamluk,,494,Suvendu Adhikari,AITC,2,Post Graduate,20,6480767,0
WB,Barddhaman - Durgapur,S25,39,GEN,Bardhaman-Durgapur,Bardhaman-Durgapur,72,Mamtaz Sanghamita,AITC,0,Post Graduate,20,107680000,0
WB,Bankura,S25,36,GEN,Bankura,,63,Sreemati Dev Varma (Moon Moon Sen),AITC,0,Post Graduate,20,15314000,1013000
WB,Mathurapur,S25,20,SC,Mathurapur,,340,Choudhury Mohan Jatua,AITC,0,Post Graduate,20,4857752,0
WB,Jaynagar,S25,19,SC,Jaynagar,,243,Pratima Mondal,AITC,0,Post Graduate,20,10614252,0
WB,Diamond Harbour,S25,21,GEN,Diamond Harbour,,158,Abhishek Banerjee,AITC,0,Post Graduate,20,15199272,0
WB,Jalpaiguri,S25,3,SC,Jalpaiguri,,236,Bijoy Chandra Barman,AITC,0,Post Graduate,20,9396430,797019
WB,Barakpur,S25,15,GEN,Barrackpur,Barrackpur,78,Dinesh Trivedi,AITC,0,Post Graduate,20,53582340,15661349
WB,Raiganj,S25,5,GEN,Raiganj,,424,Md. Salim,CPI(M),0,Post Graduate,20,8318013,0
WB,Dum Dum,S25,16,GEN,Dum Dum,,163,Saugata Roy,AITC,0,Post Graduate,20,19452010,2500000
LD,Lakshadweep,U06,1,ST,Lakshadweep,,311,Mohammed Faizal.P.P,NCP,3,Post Graduate,20,538119,0
AP,Mahabubabad,S01,16,ST,Mahabubabad,,323,Prof. Azmeera Seetaram Naik,TRS,0,Doctorate,25,8008000,4100000
AP,Tirupati,S01,40,SC,Tirupati,,507,Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,0,Doctorate,25,129128388,3132962
AP,Visakhapatnam,S01,21,GEN,Visakhapatnam,,535,Dr. Kambhampati Hari Babu,BJP,0,Doctorate,25,90103580,1854856
BR,Begusarai,S04,24,GEN,Begusarai,,84,Bhola Singh,BJP,0,Doctorate,25,25248102,0
BR,Jahanabad,S04,36,GEN,Jahanabad,,227,Dr. Arun Kumar,Rashtriya Lok Samta Party,1,Doctorate,25,38846631,1000000
DL,North West Delhi,U05,5,SC,North West Delhi,,390,Udit Raj,BJP,1,Doctorate,25,44902363,0
JH,Kodarma,S27,5,GEN,Kodarma,,291,Ravindra Kumar Ray,BJP,0,Doctorate,25,10564046,200000
KL,Thiruvananthapuram,S11,20,GEN,Thiruvananthapuram,,501,Dr. Shashi Tharoor,INC,0,Doctorate,25,230275186,0
KL,Attingal,S11,19,GEN,Attingal,,41,A Sampath,CPI(M),1,Doctorate,25,17791149,1421392
MN,Inner Manipur,S14,1,GEN,Inner Manipur,,223,Dr. Thokchom Meinya,INC,0,Doctorate,25,3825200,0
MP,Bhind,S12,2,SC,Bhind,,97,Bhagirath Prasad,BJP,0,Doctorate,25,21240286,3687610
MP,Ujjain,S12,22,SC,Ujjain,,520,Chintamani Malviya,BJP,0,Doctorate,25,18888754,5483153
MP,Tikamgarh,S12,6,SC,Tikamgarh,,504,Dr. Virendra Kumar,BJP,0,Doctorate,25,8764635,0
MH,Latur,S13,41,SC,Latur,,313,Gaikwad Sunil Baliram,BJP,0,Doctorate,25,17463251,0
MH,Mumbai North-East,S13,28,GEN,Mumbai North East,Mumbai North East,356,Kirit Somaiya,BJP,10,Doctorate,25,72156258,6593325
OD,Bargarh,S18,1,GEN,Bargarh,,75,Prabhas Kumar Singh,BJD,0,Doctorate,25,5786971,670000
RJ,Ajmer,S20,13,GEN,Ajmer,,6,Sanwar Lal Jat,BJP,0,Doctorate,25,18064656,0
TN,Karur,S22,23,GEN,Karur,,275,Thambidurai.M,AIADMK,2,Doctorate,25,132457262,51481886
UK,Hardwar,S28,5,GEN,Hardwar,,207,Ramesh Pokhariyal Nishank,BJP,1,Doctorate,25,17917274,1860684
UP,Muzaffarnagar,S24,3,GEN,Muzaffarnagar,,362,Dr. Sanjeev Kumar Balyan,BJP,1,Doctorate,25,10794222,3090803
UP,Baghpat,S24,11,GEN,Baghpat,,48,Dr. Satyapal Singh,BJP,0,Doctorate,25,67402076,352000
UP,Rampur,S24,7,GEN,Rampur,,435,Dr. Nepal Singh,BJP,0,Doctorate,25,27136042,1614820
UP,Ghaziabad,S24,12,GEN,Ghaziabad,,189,Vijay Kumar Singh,BJP,2,Doctorate,25,41137044,2026774
UP,Mathura,S24,17,GEN,Mathura,,339,Deol Hema Malini Dharmendra,BJP,0,Doctorate,25,1782015620,231234174
UP,Chandauli,S24,76,GEN,Chandauli,,117,Mahendra Nath,BJP,0,Doctorate,25,26489505,1114000
UP,Jaunpur,S24,73,GEN,Jaunpur,,242,Krishna Pratap,BJP,0,Doctorate,25,40656909,4673939
UP,Kanpur,S24,43,GEN,Kanpur,,268,Dr.Murli Manohar Joshi,BJP,1,Doctorate,25,78410008,0
UP,Unnao,S24,33,GEN,Unnao,,522,Swami Sachchidanand Hari Sakshi,BJP,8,Doctorate,25,32137597,0
UP,Agra,S24,18,SC,Agra,,2,Dr. Ramshankar Katheria,BJP,21,Doctorate,25,14634885,4035000
WB,Bolpur,S25,41,SC,Bolpur,,111,Anupam Hazra,AITC,0,Doctorate,25,4866883,0
WB,Ranaghat,S25,13,SC,Ranaghat,,437,Tapas Mandal,AITC,0,Doctorate,25,8169115,2383416
WB,Jadavpur,S25,22,GEN,Jadavpur,,225,Sugata Bose,AITC,0,Doctorate,25,46315770,0
WB,Maldah Dakshin,S25,8,GEN,Maldaha Dakshin,Maldaha Dakshin,331,Abu Hasem Kahn Chowdhury,INC,0,Doctorate,25,11560825,654320
JK,,,-1,,,,,,,,,,,
