ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res,PC_NAME2,myneta PC_NAME_myneta PC_Name,myneta Sno,myneta Candidate,myneta Party,myneta Criminal Case,myneta Education,myneta Education Points,myneta Total Assets,myneta Liabilities
OD,Dhenkanal,S18,9,GEN,Dhenkanal,,155,Tathagata Satpathy,BJD,7,Graduate,15,35434099,0
OD,Bolangir,S18,10,GEN,Bolangir,,110,Kalikesh Narayan Singh Deo,BJD,2,Graduate,15,87955818,24410449
OD,Kalahandi,S18,11,GEN,Kalahandi,,257,Arka Keshari Deo,BJD,0,Graduate,15,69822063,831688
OD,Kandhamal,S18,13,GEN,Kandhamal,,262,Hemendra Chandra Singh,BJD,2,Graduate,15,503907437,4786551
OD,Aska,S18,19,GEN,Aska,,40,Ladu Kishore Swain,BJD,0,Graduate,15,3488390,25000
OD,Nabarangapur,S18,12,ST,Nabarangpur,Nabarangpur,365,Balabhadra Majhi,BJD,0,Graduate,15,52977088,705404
OD,Berhampur.,S18,20,GEN,Berhampur,Berhampur,87,Sidhant Mohapatra,BJD,0,Graduate,15,16462430,1183828
PB,Gurdaspur,S19,1,GEN,Gurdaspur,,200,Vinod Khanna,BJP,0,Graduate,15,669343376,12695306
PB,Amritsar,S19,2,GEN,Amritsar,,22,Captain Amarinder Singh,INC,3,Graduate,15,863564071,4853456
RJ,Churu,S20,3,GEN,Churu,,134,Rahul Kaswan,BJP,0,Graduate,15,25721266,5386104
RJ,Alwar,S20,8,GEN,Alwar,,15,Mahant Chand Nath Yogi,BJP,0,Graduate,15,199653,0
RJ,Rajsamand,S20,22,GEN,Rajsamand,,433,Hari Om Singh Rathore,BJP,0,Graduate,15,188310824,2728752
RJ,Bhilwara,S20,23,GEN,Bhilwara,,96,Subhash Chandra Baheria,BJP,0,Graduate,15,142870042,8665902
RJ,Ganganagar,S20,1,SC,Ganganagar,,183,Nihalchand,BJP,0,Graduate,15,10861172,1611557
RJ,Dausa,S20,11,ST,Dausa,,146,Harish Chandra,BJP,0,Graduate,15,60394789,45000
RJ,Chittaurgarh,S20,21,GEN,Chittorgarh,Chittorgarh,133,Chandra Prakash,BJP,0,Graduate,15,14134693,687284
RJ,Jaipur Rural,S20,6,GEN,Jaipur Rural,,229,Rajyavardhan Singh Rathore,BJP,0,Graduate,15,83734044,117065
TN,Chidambaram,S22,27,SC,Chidambaram,,128,M.Chandrakasi,AIADMK,0,Graduate,15,7243646,2020472
TN,Viluppuram,S22,13,SC,Viluppuram,,533,S. Rajendran,AIADMK,0,Graduate,15,6200000,2371331
TN,Theni,S22,33,GEN,Theni,,500,"Parthipan, R.",AIADMK,0,Graduate,15,22047681,869650
TN,Ramanathapuram,S22,35,GEN,Ramanathapuram,,434,Anwhar Raajhaa.A,AIADMK,0,Graduate,15,33582876,2700000
TN,Namakkal,S22,16,GEN,Namakkal,,375,Sundaram P.R,AIADMK,0,Graduate,15,126539914,92677412
TN,Madurai,S22,32,GEN,Madurai,,322,R.Gopalakrishnan,AIADMK,0,Graduate,15,72503060,7406366
UP,Bulandshahr,S24,14,SC,Bulandshahr,,112,Dr. Bhola Singh,BJP,0,Graduate,15,12577537,0
UP,Bahraich,S24,56,SC,Bahraich,,50,Savitri Bai Foole,BJP,8,Graduate,15,1121491,538145
UP,Farrukhabad,S24,40,GEN,Farrukhabad,,175,Mukesh Rajput,BJP,0,Graduate,15,26178100,151603
UP,Firozabad,S24,20,GEN,Firozabad,,179,Akshay Yadav,SP,0,Graduate,15,100883304,59377
UP,Maharajganj,S24,63,GEN,Maharajganj,,325,Janardan Singh Sigriwal,BJP,4,Graduate,15,4795223,14000
UP,Kushi Nagar,S24,65,GEN,Kushi Nagar,,308,Rajesh Pandey Urf Guddu,BJP,0,Graduate,15,110407014,1107357
UP,Bansgaon,S24,67,SC,Bansgaon,,64,Kamlesh Paswan,BJP,0,Graduate,15,101640625,14568500
UP,Etawah,S24,41,SC,Etawah,,171,Ashok Kumar Doharey,BJP,0,Graduate,15,12252688,0
UP,Pratapgarh,S24,39,GEN,Pratapgarh,,415,Kuwar Harivansh Singh,Apna Dal,5,Graduate,15,383137665,149404112
UP,Kaushambi,S24,50,SC,Kaushambi,,278,Vinod Kumar,BJP,0,Graduate,15,27091681,10932227
UP,Ballia,S24,72,GEN,Ballia,,53,Bharat Singh,BJP,3,Graduate,15,21130089,1102553
UP,Phulpur,S24,51,GEN,Phulpur,,409,Keshav Prasad,BJP,11,Graduate,15,93244143,24381051
UP,Sant Ravi Das Nagar (Bhadohi),S24,78,GEN,Bhadohi,Bhadohi,89,Virendra Singh,BJP,0,Graduate,15,11531458,791186
UP,Kannauj,S24,42,GEN,Kannauj,,265,Dimple Yadav,SP,0,Graduate,15,280516418,6917710
UP,Gorakhpur,S24,64,GEN,Gorakhpur,,196,Adityanath,BJP,3,Graduate,15,7217674,0
WB,Krishnanagar,S25,12,GEN,Krishnanagar,,305,Tapas Paul,AITC,4,Graduate,15,27829669,0
WB,Birbhum,S25,42,GEN,Birbhum,,108,Satabdi Roy(Banerjee),AITC,0,Graduate,15,54972174,5478944
WB,Asansol,S25,40,GEN,Asansol,,39,Babul Supriya Boral (Babul Supriyo),BJP,0,Graduate,15,75289537,14748456
WB,Balurghat,S25,6,GEN,Balurghat,,54,Arpita Ghosh,AITC,0,Graduate,15,544790,0
WB,Kolkata Uttar,S25,24,GEN,Kolkata Uttar,,296,Sudip Bandyopadhyay,AITC,1,Graduate,15,22086278,450000
WB,Uluberiya,S25,26,GEN,Uluberia,Uluberia,521,Sultan Ahmed,AITC,0,Graduate,15,22792936,10878739
WB,Bangaon,S25,14,SC,Bangaon,,61,Kapil Krishna Thakur,AITC,0,Graduate,15,9667890,0
WB,Alipurduars,S25,2,ST,Alipurduars,,12,Dasrath Tirkey,AITC,0,Graduate,15,3550353,293909
WB,Haora,S25,25,GEN,Howrah,Howrah,219,Prasun Banerjee,AITC,0,Graduate,15,10041098,0
RJ,Sikar,S20,5,GEN,Sikar,,471,Sumedha Nand Saraswati,BJP,0,MA,16,34311,0
AP,Amlapuram,S01,24,SC,Amalapuram,Amalapuram,16,Pandula Ravindra Babu,TDP,0,Graduate Professional,17,27131000,3000000
AP,Karimnagar,S01,3,GEN,Karimnagar,,273,Vinod Kumar Boinapally,TRS,0,Graduate Professional,17,97275990,0
AP,Nizamabad,S01,4,GEN,Nizamabad,,387,Kalvakuntla Kavitha,TRS,8,Graduate Professional,17,61955750,3213119
AP,Nellore,S01,39,GEN,Nellore,,384,Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,17,361746068,0
AP,Nandyal,S01,34,GEN,Nandyal,,378,S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,17,219578079,1077820
AP,Chittoor,S01,42,SC,Chittoor,,132,Naramalli Sivaprasad,TDP,0,Graduate Professional,17,14878003,0
AP,Hyderabad,S01,9,GEN,Hyderabad,,220,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,4,Graduate Professional,17,40611099,14000000
AR,Arunachal West,S02,1,GEN,Arunachal West,,38,Kiren Rijiju,BJP,0,Graduate Professional,17,12539868,475000
